Name,Infectious_mean,Beta1,Beta2,Date
Afghanistan,21185,0.79,0.99,2020-04-15
Albania,1199,0.62,0.82,2020-04-15
Algeria,46994,0.58,0.78,2020-04-15
Angola,1326,0.43,0.63,2020-04-15
Antigua and Barbuda,200,0.64,0.84,2020-04-15
Argentina,18734,0.65,0.85,2020-04-15
Armenia,4001,0.58,0.78,2020-04-15
Austria,15393,0.47,0.67,2020-04-15
Azerbaijan,3732,0.56,0.76,2020-04-15
Bahrain,768,0.50,0.70,2020-04-15
Bangladesh,26052,1.95,2.15,2020-04-15
Barbados,324,0.54,0.74,2020-04-15
Belarus,28223,0.93,1.13,2020-04-15
Belgium,200420,0.59,0.79,2020-04-15
Benin,200,0.55,0.75,2020-04-15
Bhutan,40,0.55,0.75,2020-04-15
Bolivia,3318,0.81,1.01,2020-04-15
Bosnia and Herzegovina,4908,0.60,0.80,2020-04-15
Brazil,207543,0.70,0.90,2020-04-15
Brunei,100,0.43,0.63,2020-04-15
Bulgaria,2665,0.51,0.71,2020-04-15
Burkina Faso,4413,0.48,0.68,2020-04-15
Cambodia,1000,0.55,0.75,2020-04-15
Cameroon,3854,0.50,0.70,2020-04-15
Central African Republic,400,1.50,1.70,2020-04-15
Chad,200,2.00,2.20,2020-04-15
Chile,30439,0.58,0.78,2020-04-15
Colombia,33169,0.51,0.71,2020-04-15
Costa Rica,3000,0.58,0.78,2020-04-15
Cote d'Ivoire,6759,0.74,0.94,2020-04-15
Croatia,3751,0.59,0.79,2020-04-15
Cuba,7953,0.71,0.91,2020-04-15
Cyprus,1813,0.56,0.76,2020-04-15
Czechia,8296,0.51,0.71,2020-04-15
Denmark,18229,0.53,0.73,2020-04-15
Djibouti,280,1.90,2.10,2020-04-15
Dominican Republic,24248,0.69,0.89,2020-04-15
Ecuador,42842,0.49,0.69,2020-04-15
Egypt,80000,0.68,0.88,2020-04-15
El Salvador,1478,0.69,0.89,2020-04-15
Equatorial Guinea,200,1.08,1.28,2020-04-15
Eritrea,400,1.00,1.20,2020-04-15
Estonia,2070,0.48,0.68,2020-04-15
Eswatini,120,2.17,2.37,2020-04-15
Ethiopia,600,0.55,0.75,2020-04-15
Fiji,80,0.50,0.70,2020-04-15
Finland,5710,0.54,0.74,2020-04-15
France,1032283,0.50,0.70,2020-04-15
Georgia,1300,0.69,0.89,2020-04-15
Germany,234265,0.52,0.72,2020-04-15
Ghana,8000,1.18,1.38,2020-04-15
Greece,5025,0.50,0.70,2020-04-15
Guatemala,904,0.65,0.85,2020-04-15
Guinea,500,0.94,1.14,2020-04-15
Guyana,801,0.43,0.63,2020-04-15
Haiti,100,0.93,1.13,2020-04-15
Honduras,4031,0.44,0.64,2020-04-15
Hungary,8458,0.62,0.82,2020-04-15
Iceland,1642,0.46,0.66,2020-04-15
India,295981,0.84,1.04,2020-04-15
Indonesia,49509,0.80,1.00,2020-04-15
Iran,656034,0.54,0.74,2020-04-15
Iraq,2990,0.52,0.72,2020-04-15
Ireland,42876,0.81,1.01,2020-04-15
Israel,12155,0.57,0.77,2020-04-15
Italy,876545,0.48,0.68,2020-04-15
Jamaica,912,0.72,0.92,2020-04-15
Japan,54535,0.88,1.08,2020-04-15
Jordan,398,0.51,0.71,2020-04-15
Kazakhstan,3280,0.94,1.14,2020-04-15
Kenya,2155,0.57,0.77,2020-04-15
"Korea, South",818,0.45,0.65,2020-04-15
Kuwait,1200,0.50,0.70,2020-04-15
Kyrgyzstan,3000,0.86,1.06,2020-04-15
Latvia,570,0.50,0.70,2020-04-15
Lebanon,554,0.50,0.70,2020-04-15
Liberia,2829,0.82,1.02,2020-04-15
Lithuania,1711,0.49,0.69,2020-04-15
Luxembourg,3642,0.44,0.64,2020-04-15
Madagascar,800,0.49,0.69,2020-04-15
Malaysia,6681,0.59,0.79,2020-04-15
Maldives,200,0.86,1.06,2020-04-15
Malta,574,0.50,0.70,2020-04-15
Mauritania,500,0.43,0.63,2020-04-15
Mauritius,962,0.45,0.65,2020-04-15
Mexico,51189,0.80,1.00,2020-04-15
Moldova,10420,0.57,0.77,2020-04-15
Monaco,116,0.45,0.65,2020-04-15
Mongolia,5,0.75,0.95,2020-04-15
Montenegro,2800,0.50,0.70,2020-04-15
Morocco,23101,0.68,0.88,2020-04-15
Namibia,400,0.43,0.63,2020-04-15
Nepal,2000,1.00,1.20,2020-04-15
Netherlands,227551,0.61,0.81,2020-04-15
New Zealand,1271,0.45,0.65,2020-04-15
Nicaragua,2000,0.64,0.84,2020-04-15
Niger,16544,0.53,0.73,2020-04-15
Nigeria,4938,0.57,0.77,2020-04-15
North Macedonia,4444,0.66,0.86,2020-04-15
Norway,5875,0.52,0.72,2020-04-15
Oman,1961,1.24,1.44,2020-04-15
Pakistan,16559,0.61,0.81,2020-04-15
Panama,23016,0.68,0.88,2020-04-15
Papua New Guinea,250,0.43,0.63,2020-04-15
Paraguay,574,0.69,0.89,2020-04-15
Peru,132533,1.38,1.58,2020-04-15
Philippines,41542,0.62,0.82,2020-04-15
Poland,27258,0.58,0.78,2020-04-15
Portugal,69244,0.53,0.73,2020-04-15
Qatar,5321,0.77,0.97,2020-04-15
Romania,43929,0.61,0.81,2020-04-15
Russia,82447,1.30,1.50,2020-04-15
Rwanda,2000,0.56,0.76,2020-04-15
Saint Lucia,100,0.43,0.63,2020-04-15
Saint Vincent and the Grenadines,60,0.43,0.63,2020-04-15
Saudi Arabia,16879,0.90,1.10,2020-04-15
Senegal,6000,0.54,0.74,2020-04-15
Serbia,27438,0.78,0.98,2020-04-15
Seychelles,200,0.35,0.55,2020-04-15
Singapore,1285,0.55,0.75,2020-04-15
Slovakia,712,0.43,0.63,2020-04-15
Slovenia,2661,0.48,0.68,2020-04-15
Somalia,2000,1.50,1.70,2020-04-15
South Africa,25000,0.84,1.04,2020-04-15
Spain,726230,0.48,0.68,2020-04-15
Sri Lanka,525,0.71,0.91,2020-04-15
Sudan,1000,1.00,1.20,2020-04-15
Suriname,20,0.43,0.63,2020-04-15
Sweden,63151,0.58,0.78,2020-04-15
Switzerland,80568,0.45,0.65,2020-04-15
Tanzania,1000,1.50,1.70,2020-04-15
Thailand,4399,0.48,0.68,2020-04-15
Togo,446,0.45,0.65,2020-04-15
Trinidad and Tobago,3000,0.45,0.65,2020-04-15
Tunisia,3135,0.54,0.74,2020-04-15
Turkey,439388,0.70,0.90,2020-04-15
Uganda,1100,0.47,0.67,2020-04-15
Ukraine,26593,0.84,1.04,2020-04-15
United Arab Emirates,17431,0.77,0.97,2020-04-15
United Kingdom,1075004,0.48,0.68,2020-04-15
Uruguay,5000,0.36,0.56,2020-04-15
US,2064195,0.48,0.68,2020-04-15
Uzbekistan,3044,0.98,1.18,2020-04-15
Venezuela,5000,0.73,0.93,2020-04-15
Vietnam,500,0.50,0.70,2020-04-15
Zambia,1000,0.83,1.03,2020-04-15
Zimbabwe,3000,1.08,1.28,2020-04-15
Canada,242193,0.9,0.9,2020-04-15
Australia,41105,0.9,0.9,2020-04-15
China,4000,0.9,0.9,2020-04-15
Congo (Brazzaville),1454,,,2020-04-15
Congo (Kinshasa),2456,,,2020-04-15
